City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Molochnoye,59.2917,39.6787,67.35,49,54,7.0,RU,1661632658
Knysna,-34.0363,23.0471,51.94,84,0,4.54,ZA,1661632659
Luanda,-8.8368,13.2343,71.6,83,20,5.75,AO,1661632566
‘Ewa Beach,21.3156,-158.0072,85.95,49,0,17.27,US,1661632659
Vilhena,-12.7406,-60.1458,89.82,37,40,8.05,BR,1661632660
Sibolga,1.7427,98.7792,75.04,92,100,2.86,ID,1661632660
Teacapan,22.55,-105.75,86.61,68,66,10.98,MX,1661632661
Abalak,58.1286,68.5944,49.59,77,92,5.59,RU,1661632661
Kieta,-6.2167,155.6333,77.79,87,100,4.76,PG,1661632662
Demba,-5.51,22.2667,74.44,67,100,2.01,CD,1661632662
Jacareacanga,-6.2222,-57.7528,82.81,58,80,2.48,BR,1661632663
Kamenka,51.3223,42.7678,72.9,29,100,9.53,RU,1661632664
Viedma,-40.8135,-62.9967,47.35,33,19,18.41,AR,1661632664
Bowling Green,36.9903,-86.4436,90.34,69,100,3.44,US,1661632424
Morelia,19.7008,-101.1844,76.14,61,54,6.11,MX,1661632610
Louis Trichardt,-23.0439,29.9032,64.69,33,0,2.33,ZA,1661632665
Zinder,13.8072,8.9881,82.89,60,80,5.79,NE,1661632665
Saint-Pierre,-21.3393,55.4781,73.56,71,75,3.44,RE,1661632666
Vila Franca do Campo,37.7167,-25.4333,73.81,88,37,7.34,PT,1661632666
Kavaratti,10.5669,72.642,80.04,81,100,17.83,IN,1661632667
Elko,41.0002,-115.5012,86.74,15,2,19.44,US,1661632500
Madīnat Sittah Uktūbar,29.8167,31.05,80.2,62,0,17.31,EG,1661632668
Rio Claro,-22.4114,-47.5614,76.68,29,7,3.0,BR,1661632668
Moose Factory,51.2585,-80.6094,80.6,50,0,11.5,CA,1661632669
Lorengau,-2.0226,147.2712,80.91,81,79,11.81,PG,1661632669
Karratha,-20.7377,116.8463,65.66,35,0,9.71,AU,1661632670
Joaíma,-16.6542,-41.0306,72.64,52,19,3.98,BR,1661632671
Yurty,56.0498,97.6348,43.61,90,98,13.85,RU,1661632671
Bubaque,11.2833,-15.8333,80.78,82,100,19.71,GW,1661632672
Tautira,-17.7333,-149.15,75.61,77,33,4.99,PF,1661632672
Converse,29.518,-98.3161,97.88,48,20,6.91,US,1661632673
New Ipswich,42.7481,-71.8542,80.06,53,87,5.01,US,1661632673
Nishihara,26.1842,127.7558,81.68,94,75,4.61,JP,1661632674
Port Moresby,-9.4431,147.1797,74.62,94,20,3.44,PG,1661632674
Invermere,50.5167,-116.0354,58.35,83,100,5.99,CA,1661632674
Aswān,24.0934,32.907,93.11,21,68,7.34,EG,1661632675
Malakal,9.5334,31.6605,68.59,98,100,5.03,SS,1661632675
Ulaangom,49.9811,92.0667,55.33,53,44,5.75,MN,1661632639
Evensk,61.95,159.2333,50.97,99,100,5.5,RU,1661632676
Tatarskaya Kargala,51.9495,55.1731,68.05,40,51,2.95,RU,1661632677
Lufilufi,-13.8745,-171.5986,80.38,69,13,16.26,WS,1661632677
La Ronge,55.1001,-105.2842,77.22,53,75,8.05,CA,1661632677
Antofagasta,-23.65,-70.4,58.28,72,10,7.76,CL,1661632601
Rawson,-43.3002,-65.1023,46.54,34,18,18.75,AR,1661632678
Alexandria,31.2156,29.9553,79.47,70,0,9.15,EG,1661632355
Geraldton,-28.7667,114.6,52.21,93,75,6.91,AU,1661632679
Raja,8.4596,25.678,69.04,96,100,3.02,SS,1661632679
Lubango,-14.9172,13.4925,60.48,47,0,1.1,AO,1661632680
Altamont,42.2068,-121.7372,81.77,34,0,3.0,US,1661632681
Iqaluit,63.7506,-68.5145,40.73,93,75,6.91,CA,1661632681
Inuvik,68.3499,-133.7218,63.61,63,75,8.05,CA,1661632681
Kribi,2.95,9.9167,74.91,86,62,4.88,CM,1661632682
Huilong,31.8111,121.655,76.93,65,92,11.36,CN,1661632683
Rome,43.2128,-75.4557,79.72,57,0,6.91,US,1661632683
Hong Kong,22.2855,114.1577,85.17,88,32,4.0,HK,1661632684
Taree,-31.9,152.4667,48.11,93,15,2.77,AU,1661632684
San Ramon,37.7799,-121.978,89.47,50,0,8.99,US,1661632564
Malbork,54.0359,19.0266,72.88,50,4,7.36,PL,1661632685
Kudahuvadhoo,2.6708,72.8944,81.1,75,54,12.97,MV,1661632686
Lampazos de Naranjo,27.0167,-100.5167,96.1,36,62,10.56,MX,1661632686
Port Victoria,0.0939,33.9756,69.31,76,98,5.66,KE,1661632687
Soe,-9.8607,124.284,63.43,90,49,4.07,ID,1661632687
Quebrangulo,-9.3189,-36.4711,66.45,97,73,5.97,BR,1661632688
Spencer,43.1414,-95.1444,84.31,51,0,8.05,US,1661632438
Planadas,3.197,-75.6451,88.23,45,93,4.7,CO,1661632688
St. George's,12.0564,-61.7485,87.48,66,20,13.8,GD,1661632689
Launceston,-41.45,147.1667,48.79,97,40,8.05,AU,1661632689
Barra de Tecoanapa,16.5167,-98.75,85.48,66,76,10.33,MX,1661632690
Surgut,61.25,73.4167,57.38,76,0,8.99,RU,1661632691
Cabinda,-5.55,12.2,70.61,89,23,5.1,AO,1661632691
Lagoa,39.05,-27.9833,73.85,88,11,19.19,PT,1661632692
Saint-Prosper,46.2117,-70.4811,68.04,51,20,6.22,CA,1661632692
Nsanje,-16.92,35.262,73.26,48,1,4.32,MW,1661632693
Binuang,5.9569,121.06,76.66,85,74,3.76,PH,1661632693
Shingū,33.7333,135.9833,76.95,85,9,4.25,JP,1661632694
Longjiang,47.3303,123.1836,53.49,54,4,4.59,CN,1661632694
Dubti,11.7361,41.0853,84.74,49,99,5.19,ET,1661632695
Progreso,21.2833,-89.6667,89.71,82,81,13.06,MX,1661632695
Navashino,55.5292,42.2003,68.95,47,96,5.17,RU,1661632696
Bolshoy Lug,52.0779,104.0919,51.98,95,100,3.09,RU,1661632697
Badvel,14.75,79.05,79.84,79,95,4.25,IN,1661632697
Ust-Nera,64.5667,143.2,49.48,79,59,4.76,RU,1661632697
Ayan,56.45,138.1667,52.27,81,28,3.2,RU,1661632698
Vestmanna,62.1564,-7.1664,47.32,93,100,2.3,FO,1661632699
Kandrian,-6.2167,149.55,77.23,88,100,8.19,PG,1661632699
Sandwick,60.0,-1.25,53.42,87,100,2.3,GB,1661632700
Cullera,39.1667,-0.25,80.78,77,1,3.0,ES,1661632700
Verkhnetulomskiy,68.6073,31.7962,62.73,84,100,9.91,RU,1661632700
Uri,34.0833,74.0333,68.11,95,75,2.01,IN,1661632701
Dunedin,-45.8742,170.5036,51.8,83,91,4.18,NZ,1661632701
São Raimundo Nonato,-9.0153,-42.6994,82.45,25,27,7.36,BR,1661632702
Nuuk,64.1835,-51.7216,47.01,71,75,5.75,GL,1661632702
Marion,39.7684,-86.1555,87.57,55,75,11.5,US,1661632703
Sula,15.4573,120.3955,80.89,88,93,1.9,PH,1661632703
Pasaje,-3.3333,-79.8167,76.71,63,44,6.69,EC,1661632704
Namatanai,-3.6667,152.4333,79.25,80,84,7.52,PG,1661632704
Russell,32.3502,-85.1999,88.83,56,94,3.29,US,1661632705
Jalu,29.0331,21.5482,82.24,54,16,14.14,LY,1661632705
Iguape,-24.7081,-47.5553,69.67,86,43,9.44,BR,1661632679
Fort Nelson,58.8053,-122.7002,65.79,42,75,6.91,CA,1661632706
Rio Grande,-32.035,-52.0986,71.71,94,87,5.06,BR,1661632707
Terryville,40.909,-73.0651,86.14,63,40,12.66,US,1661632707
Svetlaya,46.5389,138.3297,58.95,89,7,5.84,RU,1661632708
Malaya Serdoba,52.4661,44.9512,72.14,36,96,9.26,RU,1661632708
Emerald,-23.5333,148.1667,56.34,77,4,8.59,AU,1661632709
Isangel,-19.55,169.2667,74.98,74,11,16.64,VU,1661632709
Levelland,33.5873,-102.378,90.19,32,44,15.35,US,1661632466
Baijiantan,45.6333,85.1833,72.45,25,0,11.97,CN,1661632710
Bandarbeyla,9.4942,50.8122,75.13,83,32,27.94,SO,1661632710
San Jacinto,33.7839,-116.9586,98.92,26,0,10.0,US,1661632711
Barra Patuca,15.8,-84.2833,84.61,75,48,9.69,HN,1661632711
Loralai,30.3705,68.598,72.77,75,32,3.06,PK,1661632712
Punta de Bombón,-17.1717,-71.7931,61.47,75,3,8.77,PE,1661632712
Anadyr,64.75,177.4833,48.7,87,75,4.47,RU,1661632713
Nhulunbuy,-12.2333,136.7667,75.81,88,100,6.91,AU,1661632713
Nysa,50.4738,17.3344,70.86,86,64,5.19,PL,1661632714
Gariāband,20.635,82.0614,74.19,92,95,4.18,IN,1661632714
Prabumulih,-3.45,104.25,72.16,99,100,2.28,ID,1661632714
Cananéia,-25.0147,-47.9267,68.23,92,1,4.09,BR,1661632715
Cairns,-16.9167,145.7667,73.35,97,100,12.66,AU,1661632715
Conceição do Araguaia,-8.2578,-49.2647,91.99,22,94,3.11,BR,1661632716
Pijijiapan,15.7011,-93.23,85.6,74,100,5.66,MX,1661632717
Chontalpa,17.7,-93.5167,83.95,79,99,2.44,MX,1661632717
Lázaro Cárdenas,17.9583,-102.2,85.75,64,71,10.0,MX,1661632718
Kyzyl,51.7,94.45,55.69,76,80,1.03,RU,1661632718
Madimba,-10.4,40.3333,69.12,94,20,10.36,TZ,1661632719
Solnechnyy,50.7214,136.6319,49.51,98,100,8.84,RU,1661632719
Pāndhurnā,21.6,78.5167,74.59,89,100,5.82,IN,1661632720
Kropotkin,45.4375,40.5756,77.59,25,0,10.33,RU,1661632720
Payo,-3.7508,103.6372,72.03,99,100,0.78,ID,1661632721
Xai-Xai,-25.0519,33.6442,69.64,65,0,8.86,MZ,1661632721
Bentiu,9.2333,29.8333,69.22,98,85,4.47,SS,1661632722
Vanavara,60.34,102.2797,48.09,97,100,9.26,RU,1661632722
Belize,17.25,-88.75,91.72,47,76,7.49,BZ,1661632723
Botro,7.8525,-5.3106,72.88,97,100,4.97,CI,1661632723
Kondinskoye,59.6481,67.41,52.29,79,63,7.74,RU,1661632724
Aranos,-24.1333,19.1167,66.81,18,0,1.63,NA,1661632724
Andenes,69.3143,16.1194,52.93,87,100,16.11,NO,1661632725
Columbus,39.9612,-82.9988,85.19,52,40,4.61,US,1661632705
Stabat,3.761,98.4513,72.91,99,100,1.83,ID,1661632726
Chippewa Falls,44.9369,-91.3929,75.38,82,75,14.97,US,1661632502
Lusambo,-4.9667,23.45,70.43,86,99,1.01,CD,1661632727
Kilrush,52.6397,-9.4833,65.95,80,100,2.77,IE,1661632728
Vila Velha,-20.3297,-40.2925,75.15,83,20,18.41,BR,1661632513
Arona,28.0996,-16.681,68.7,79,75,17.27,ES,1661632728
Kupang,-10.1667,123.5833,73.18,84,4,4.34,ID,1661632729
Saravan,39.7196,45.6483,64.85,36,0,6.38,AM,1661632729
Río Gallegos,-51.6226,-69.2181,42.85,49,40,29.93,AR,1661632730
Jutaí,-5.1833,-68.9,84.15,59,72,2.86,BR,1661632731
Rock Sound,24.9,-76.2,83.48,69,42,6.35,BS,1661632731
Saint George,37.1041,-113.5841,98.8,25,0,4.61,US,1661632732
Arrondissement d'Arcachon,44.5875,-1.0519,77.32,64,0,5.75,FR,1661632732
Udachny,66.4167,112.4,34.45,86,54,5.91,RU,1661632733
Winnemucca,40.973,-117.7357,89.65,9,0,19.17,US,1661632475
Ambunti,-4.2365,142.8448,72.57,99,53,0.87,PG,1661632733
Ixtapa,20.7,-105.2,90.23,62,75,10.36,MX,1661632734
Walvis Bay,-22.9575,14.5053,54.09,82,0,3.44,NA,1661632734
Manaure,11.7751,-72.4445,84.24,70,56,14.67,CO,1661632735
Codrington,-38.2667,141.9667,51.13,75,67,10.31,AU,1661632735
Khani,41.9563,42.9566,67.57,88,3,3.42,GE,1661632736
Khovd,48.0056,91.6419,55.15,42,4,4.41,MN,1661632736
Nemuro,43.3236,145.575,66.16,99,100,12.19,JP,1661632737
Snezhnogorsk,69.1933,33.2531,62.38,80,100,14.36,RU,1661632737
Barcelos,41.5388,-8.6151,75.92,84,89,0.98,PT,1661632738
Zhezkazgan,47.8043,67.7144,69.78,56,40,13.42,KZ,1661632738
Mount Darwin,-16.7725,31.5838,62.1,48,0,3.31,ZW,1661632739
Kirakira,-10.4544,161.9205,79.29,83,84,9.89,SB,1661632740
Bullhead City,35.1478,-114.5683,108.86,17,0,12.66,US,1661632630
Vestmannaeyjar,63.4427,-20.2734,51.17,83,32,14.25,IS,1661632740
Yunyang,33.4474,112.7142,63.39,81,100,10.25,CN,1661632741
Beringovskiy,63.05,179.3167,50.79,76,93,10.83,RU,1661632741
Rønne,55.1009,14.7066,69.71,88,75,8.05,DK,1661632742
Sárosd,47.0427,18.6436,72.0,57,73,8.63,HU,1661632742
Bicester,51.9,-1.1536,66.31,49,0,5.75,GB,1661632743
Northam,51.0333,-4.2167,61.61,90,100,3.47,GB,1661632743
Alyangula,-13.8483,136.4192,64.27,88,37,0.0,AU,1661632580
Dandong,40.1292,124.3947,53.46,86,21,5.55,CN,1661632583
Naze,28.3667,129.4833,77.92,82,73,9.66,JP,1661632744
Boguchany,58.3814,97.4531,46.11,95,100,13.58,RU,1661632745
Ryōtsu-minato,38.0833,138.4333,69.76,82,100,10.18,JP,1661632745
Mackenzie,55.2999,-123.1698,59.22,63,100,10.36,CA,1661632508
Aksu,41.1231,80.2644,64.17,64,98,7.52,CN,1661632746
Boueni,-12.9025,45.0761,69.78,68,20,2.82,YT,1661632746
Owando,-0.4819,15.8999,71.42,92,88,2.51,CG,1661632747
Mwene-Ditu,-7.0,23.45,73.45,59,71,1.9,CD,1661632748
Neiafu,-18.65,-173.9833,75.88,83,20,5.75,TO,1661632748
Jiujiang,29.7333,115.9833,74.79,81,88,9.37,CN,1661632749
Atambua,-9.1061,124.8925,69.19,87,52,4.38,ID,1661632749
Emba,48.8264,58.1442,76.73,34,76,4.54,KZ,1661632750
Almaznyy,48.0448,40.045,79.14,20,100,17.81,RU,1661632750
Raduzhny,62.0961,77.475,49.33,92,100,13.4,RU,1661632751
Taywarah,33.35,64.4167,51.64,21,0,6.35,AF,1661632751
Warmbad,-28.45,18.7333,58.21,32,0,5.14,NA,1661632752
Maracaibo,10.6317,-71.6406,87.03,60,39,2.39,VE,1661632752
Laas,46.6166,10.7002,65.28,91,100,0.29,IT,1661632753
Krasnosel'kup,65.7,82.4667,39.6,94,59,15.95,RU,1661632754
Ifo,6.8144,3.1958,76.62,93,88,5.32,NG,1661632754
Yermakovskoye,53.2831,92.4003,49.15,92,100,5.46,RU,1661632755
Singapore,1.2897,103.8501,77.2,96,75,2.3,SG,1661631930
Rock Springs,41.5875,-109.2029,86.23,16,0,32.21,US,1661632756
Diego de Almagro,-26.3667,-70.05,71.8,26,0,7.25,CL,1661632756
Zhigansk,66.7697,123.3711,43.52,86,100,7.83,RU,1661632757
Finschhafen,-6.6024,147.8681,77.68,84,81,9.31,PG,1661632758
Burnie,-41.0667,145.9167,52.95,87,28,10.45,AU,1661632758
Pangody,65.85,74.4859,41.94,88,100,6.46,RU,1661632759
Tall Kayf,37.0833,41.0667,79.14,16,0,7.09,TR,1661632759
Munich,48.1374,11.5755,66.85,89,88,5.99,DE,1661632522
Gao,16.6362,1.637,87.85,47,82,12.91,ML,1661632760
Røros,62.5747,11.3842,46.24,93,100,2.3,NO,1661632761
Coquimbo,-29.9533,-71.3436,58.73,77,20,10.36,CL,1661632761
Sokoto,13.0609,5.239,75.72,83,73,8.93,NG,1661632762
Kandi,11.1342,2.9386,72.68,92,100,5.95,BJ,1661632763
Hamada,34.8833,132.0833,69.24,81,73,9.8,JP,1661632763
Simbahan,6.3032,120.5836,82.67,70,93,7.31,PH,1661632764
